USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root      1455  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:84]
root      1456  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:85]
root      1457  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:86]
root      1458  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:87]
root      1459  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:88]
root      1461  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:89]
root      1462  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:90]
root      1463  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:91]
root      1464  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:92]
root      1465  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:93]
root      1466  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:94]
root      1467  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/u8:95]
root      1468  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [irq/49-mei_me]
root      1469  0.0  0.0      0     0 ?        S<   10:07   0:00  \_ [kworker/u9:0]
root      1470  0.0  0.0      0     0 ?        S<   10:07   0:00  \_ [hci0]
root      1471  0.0  0.0      0     0 ?        S<   10:07   0:00  \_ [hci0]
root      1472  0.0  0.0      0     0 ?        S<   10:07   0:00  \_ [kworker/u9:1]
root      1473  0.0  0.0      0     0 ?        S<   10:07   0:00  \_ [kworker/u9:2]
root      1474  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/0:3]
root      1475  0.0  0.0      0     0 ?        S    10:07   0:00  \_ [kworker/2:1]
root         1  0.0  0.0  33080  4060 ?        Ss   Apr04   0:01 /sbin/init
root       246  0.0  0.0  23744  2424 ?        Ss   Apr04   0:00 /sbin/cgmanager --sigstop -m name=systemd
root       314  0.0  0.0  42060  1760 ?        Ss   Apr04   0:00 /lib/systemd/systemd-udevd --daemon
root       405  0.0  0.0  16688  1460 ?        Ss   Apr04   0:00 /sbin/mount.ntfs /dev/sda4 /media/ntfs -o rw
syslog     713  0.0  0.0 255896  2364 ?        Ssl  Apr04   0:00 rsyslogd
message+   769  0.0  0.0  44036  4208 ?        Ss   Apr04   0:05 dbus-daemon --system --fork
root       827  0.0  0.0  19564  3776 ?        Ss   Apr04   0:00 /usr/sbin/bluetoothd
